Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
CYCCP,Cyclacel Pharmaceuticals Inc.,6.25,$2.1M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cyccp
CBAY,CymaBay Therapeutics Inc.,6.1,$266.92M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cbay
CY,Cypress Semiconductor Corporation,13.64,$4.54B,1986,Technology,Semiconductors,http://www.nasdaq.com/symbol/cy
CYRN,CYREN Ltd.,1.825,$71.51M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cyrn
CONE,CyrusOne Inc,63.89,$5.83B,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cone
CYTK,Cytokinetics Incorporated,14.45,$775.48M,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cytk
CTMX,CytomX Therapeutics Inc.,16.97,$625.64M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ctmx
CYTX,Cytori Therapeutics Inc,0.3289,$11.42M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cytx
CYTXW,Cytori Therapeutics Inc,0.0399,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cytxw
CTSO,Cytosorbents Corporation,6.05,$170.21M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ctso
CYTR,CytRx Corporation,0.49,$81.25M,1986,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cytr
DJCO,Daily Journal Corp. (S.C.),210.62,$290.81M,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/djco
DAKT,Daktronics Inc.,9.58,$424.28M,1994,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/dakt
DARE,Dare Bioscience Inc.,3.36,$20.32M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/dare
DRIO,DarioHealth Corp.,1.89,$19.35M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/drio
DRIOW,DarioHealth Corp.,0.28,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/driow
DZSI,DASAN Zhone Solutions Inc.,6.3413,$20.77M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/dzsi
DSKE,Daseke Inc.,13.1,$507.18M,2015,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/dske
DSKEW,Daseke Inc.,1.5837,n/a,2015,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/dskew
DAIO,Data I/O Corporation,8.33,$68.08M,1981,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/daio
DWCH,Datawatch Corporation,10.3,$125.65M,1992,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/dwch
PLAY,Dave & Buster&#39;s Entertainment Inc.,49.59,$2.06B,2014,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/play
DTEA,DAVIDsTEA Inc.,5.1,$131.34M,2015,Consumer Non-Durables,Food Chains,http://www.nasdaq.com/symbol/dtea
DFNL,Davis Select Financial ETF,21.194,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dfnl
DUSA,Davis Select U.S. Equity ETF,20.8864,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dusa
DWLD,Davis Select Worldwide ETF,23.5398,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dwld
DWSN,Dawson Geophysical Company,4.15,$90.06M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dwsn
DBVT,DBV Technologies S.A.,43.39,$2.14B,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/dbvt
DFRG,Del Frisco&#39;s Restaurant Group Inc.,13.45,$284.17M,2012,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/dfrg
TACO,Del Taco Restaurants Inc.,13.75,$531.93M,2014,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/taco
TACOW,Del Taco Restaurants Inc.,3.9378,n/a,2014,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/tacow
DCTH,Delcath Systems Inc.,0.1368,$68.27M,2000,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/dcth
DMPI,DelMar Pharmaceuticals Inc.,1.23,$16.56M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/dmpi
DGAS,Delta Natural Gas Company Inc.,30.66,$218.77M,1981,Public Utilities,Oil & Gas Production,http://www.nasdaq.com/symbol/dgas
DELT,Delta Technology Holdings Limited,1.19,$11.45M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/delt
DELTW,Delta Technology Holdings Limited,0.045,n/a,2013,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/deltw
DENN,Denny&#39;s Corporation,11.4,$765.8M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/denn
XRAY,DENTSPLY SIRONA Inc.,57.83,$13.27B,1987,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/xray
DEPO,Depomed Inc.,6.12,$385.49M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/depo
DERM,Dermira Inc.,25.43,$1.06B,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/derm
DEST,Destination Maternity Corporation,1.09,$15.24M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/dest
DXLG,Destination XL Group Inc.,2.05,$99.74M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/dxlg
DSWL,Deswell Industries Inc.,2.65,$42.1M,1995,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/dswl
DTRM,Determine Inc. ,2,$29.21M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/dtrm
DXCM,DexCom Inc.,71.23,$6.17B,2005,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/dxcm
DXTR,Dextera Surgical Inc.,0.3352,$13.54M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/dxtr
DHXM,DHX Media Ltd.,5.75,$182.07M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dhxm
DHIL,Diamond Hill Investment Group Inc.,194.63,$672.19M,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/dhil
FANG,Diamondback Energy Inc.,91.62,$8.99B,2012,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/fang
DCIX,Diana Containerships Inc.,0.5286,$616.35,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/dcix
DRNA,Dicerna Pharmaceuticals Inc.,3.42,$71.29M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/drna
DFBG,Differential Brands Group Inc.,1.65,$21.97M,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/dfbg
DFFN,Diffusion Pharmaceuticals Inc.,2,$28.04M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/dffn
DGII,Digi International Inc.,9.2,$244.17M,1989,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/dgii
DGLT,Digiliti Money Group Inc.,1.0464,$10.34M,n/a,Technology,Telecommunications Equipment,http://www.nasdaq.com/symbol/dglt
DMRC,Digimarc Corporation,31.05,$349.85M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dmrc
DRAD,Digirad Corporation,3.45,$68.92M,2004,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/drad
DGLY,Digital Ally Inc.,2.8,$19.44M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/dgly
APPS,Digital Turbine Inc.,1.3,$86.59M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/apps
DCOM,Dime Community Bancshares Inc.,18.45,$690.89M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/dcom
DMTX,Dimension Therapeutics Inc.,3.65,$91.44M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/dmtx
DIOD,Diodes Incorporated,27.28,$1.34B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/diod
DISCA,Discovery Communications Inc.,21.34,$8.09B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/disca
DISCB,Discovery Communications Inc.,24.8,$9.4B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/discb
DISCK,Discovery Communications Inc.,20.1,$7.62B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/disck
DISH,DISH Network Corporation,55.48,$25.86B,1995,Consumer Services,Television Services,http://www.nasdaq.com/symbol/dish
DVCR,Diversicare Healthcare Services Inc.,8.99,$58.06M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/dvcr
SAUC,Diversified Restaurant Holdings Inc.,2.12,$56.55M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/sauc
DLHC,DLH Holdings Corp.,6.06,$70.29M,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/dlhc
BOOM,DMC Global Inc.,12.95,$191.28M,n/a,Capital Goods,Industrial Specialties,http://www.nasdaq.com/symbol/boom
DNBF,DNB Financial Corp,32.9,$140.24M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/dnbf
DLTR,Dollar Tree Inc.,83.23,$19.71B,1995,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/dltr
DGICA,Donegal Group Inc.,15.3,$418.03M,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/dgica
DGICB,Donegal Group Inc.,13.5,$368.85M,1986,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/dgicb
DMLP,Dorchester Minerals L.P.,14.5,$468.06M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dmlp
DORM,Dorman Products Inc.,68.05,$2.32B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/dorm
EAGL,Double Eagle Acquisition Corp.,10.1,$631.25M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/eagl
EAGLU,Double Eagle Acquisition Corp.,10.551,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/eaglu
EAGLW,Double Eagle Acquisition Corp.,0.548,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/eaglw
DOVA,Dova Pharmaceuticals Inc.,26.64,$683.38M,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/dova
DRYS,DryShips Inc.,2.54,$172.49M,2005,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/drys
DSPG,DSP Group Inc.,11.85,$263.66M,1994,Technology,Semiconductors,http://www.nasdaq.com/symbol/dspg
DLTH,Duluth Holdings Inc.,19.5,$632.86M,2015,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/dlth
DNKN,Dunkin&#39; Brands Group Inc.,51.49,$4.65B,2011,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/dnkn
DRRX,DURECT Corporation,1.6,$235.2M,2000,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/drrx
DXPE,DXP Enterprises Inc.,27.41,$476.98M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dxpe
DYSL,Dynasil Corporation of America,1.31,$22.35M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dysl
DYNT,Dynatronics Corporation,2.4,$11.15M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/dynt
DVAX,Dynavax Technologies Corporation,19.55,$1.18B,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/dvax
ETFC,E*TRADE Financial Corporation,39.49,$10.85B,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/etfc
EBMT,Eagle Bancorp Montana Inc.,17.7,$67.46M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ebmt
EGBN,Eagle Bancorp Inc.,60.6,$2.07B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/egbn
EGLE,Eagle Bulk Shipping Inc.,4.59,$340.14M,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/egle
EFBI,Eagle Financial Bancorp Inc.,16.48,$26.58M,2017,Finance,Savings Institutions,http://www.nasdaq.com/symbol/efbi
EGRX,Eagle Pharmaceuticals Inc.,57.54,$872.84M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/egrx
IGLE,Eagleline Acquisition Corp.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/igle
EWBC,East West Bancorp Inc.,53.03,$7.66B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ewbc
EACQ,Easterly Acquisition Corp.,10.075,$208.66M,2015,Capital Goods,Building Products,http://www.nasdaq.com/symbol/eacq
EACQU,Easterly Acquisition Corp.,9.97,n/a,2015,Capital Goods,Building Products,http://www.nasdaq.com/symbol/eacqu
EACQW,Easterly Acquisition Corp.,0.8699,n/a,2015,Capital Goods,Building Products,http://www.nasdaq.com/symbol/eacqw
EML,Eastern Company (The),25.9,$162.12M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/eml
ESDI,Eastside Distilling Inc.,3.91,$18.46M,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/esdi
ESDIW,Eastside Distilling Inc.,0.699,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/esdiw
EVGBC,Eaton Vance NextShares Trust,99.98,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/evgbc
EVSTC,Eaton Vance NextShares Trust,99.98,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/evstc
EVLMC,Eaton Vance NextShares Trust II,99.94,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/evlmc
EBAY,eBay Inc.,38.01,$40.68B,1998,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ebay
EBAYL,eBay Inc.,26.98,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ebayl
EBIX,Ebix Inc.,56.65,$1.78B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ebix
ELON,Echelon Corporation,4.43,$19.73M,1998,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/elon
ECHO,Echo Global Logistics Inc.,15.3,$436.58M,2009,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/echo
SATS,EchoStar Corporation,56.7,$5.42B,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/sats
EEI,Ecology and Environment Inc.,11.95,$51.31M,1987,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/eei
ESES,Eco-Stim Energy Solutions Inc.,1.45,$107.83M,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/eses
EDAP,EDAP TMS S.A.,3.05,$87.62M,1997,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/edap
EDGE,Edge Therapeutics Inc.,10.73,$331.04M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/edge
EDGW,Edgewater Technology Inc.,6.86,$95.63M,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/edgw
EDIT,Editas Medicine Inc.,20.2,$840.87M,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/edit
EDUC,Educational Development Corporation,10.8792,$44.51M,n/a,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/educ
EGAN,eGain Corporation,2.25,$60.99M,1999,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/egan
EGLT,Egalet Corporation,1.31,$56.39M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/eglt
EHTH,eHealth Inc.,24.27,$449.85M,2006,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/ehth
EIGR,Eiger BioPharmaceuticals Inc.,10,$83.67M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/eigr
EKSO,Ekso Bionics Holdings Inc.,1.15,$38.43M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/ekso
LOCO,El Pollo Loco Holdings Inc.,11.15,$430.97M,2014,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/loco
EMITF,Elbit Imaging Ltd.,2.9,$26.65M,n/a,Consumer Services,Building operators,http://www.nasdaq.com/symbol/emitf
ESLT,Elbit Systems Ltd.,139.48,$5.96B,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/eslt
ERI,Eldorado Resorts Inc.,23.8,$1.82B,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/eri
ESIO,Electro Scientific Industries Inc.,12.16,$402.94M,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/esio
EA,Electronic Arts Inc.,118.93,$36.72B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ea
EFII,Electronics for Imaging Inc.,38.58,$1.79B,1992,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/efii
ELSE,Electro-Sensors Inc.,3.61,$12.26M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/else
ELEC,Electrum Special Acquisition Corporation,10.18,$223.63M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/elec
ELECU,Electrum Special Acquisition Corporation,10.479,$230.2M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/elecu
ELECW,Electrum Special Acquisition Corporation,0.3,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/elecw
EBIO,Eleven Biotherapeutics Inc.,1.1874,$29.33M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ebio
DWAC,Elkhorn Commodity Rotation Strategy ETF,23.95,$2.4M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dwac
ESBK,Elmira Savings Bank NY (The),20.4,$56.22M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/esbk
ELTK,Eltek Ltd.,0.6301,$6.39M,1997,Technology,Electrical Products,http://www.nasdaq.com/symbol/eltk
EMCI,EMC Insurance Group Inc.,26.96,$575.6M,1982,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/emci
EMCF,Emclaire Financial Corp,28.3842,$62.61M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/emcf
EMKR,EMCORE Corporation,8.8,$236.54M,1997,Technology,Semiconductors,http://www.nasdaq.com/symbol/emkr
EMMS,Emmis Communications Corporation,2.5,$31.31M,1994,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/emms
NYNY,Empire Resorts Inc.,23.7,$738.89M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/nyny
ENTA,Enanta Pharmaceuticals Inc.,43.09,$822.6M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/enta
ECPG,Encore Capital Group Inc,39.3,$1.01B,n/a,Finance,Finance Companies,http://www.nasdaq.com/symbol/ecpg
WIRE,Encore Wire Corporation,41.1,$853.11M,1992,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/wire
ENDP,Endo International plc,8.56,$1.91B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/endp
ECYT,Endocyte Inc.,1.37,$58.33M,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ecyt
ELGX,Endologix Inc.,4.6,$383.8M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/elgx
NDRA,ENDRA Life Sciences Inc.,3,$11.72M,2017,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/ndra
NDRAW,ENDRA Life Sciences Inc.,0.45,n/a,2017,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/ndraw
EIGI,Endurance International Group Holdings Inc.,7.7,$1.1B,2013,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/eigi
WATT,Energous Corporation,12.29,$269.15M,2014,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/watt
EFOI,Energy Focus Inc.,1.94,$23M,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/efoi
EHR,Energy Hunter Resources Inc.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ehr
ERII,Energy Recovery Inc.,7.25,$388.43M,2008,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/erii
EXXI,Energy XXI Gulf Coast Inc.,10.38,$344.84M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/exxi
ENG,ENGlobal Corporation,1.275,$34.69M,n/a,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/eng
ENPH,Enphase Energy Inc.,1.3,$109.96M,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/enph
ESGR,Enstar Group Limited,197.05,$3.83B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/esgr
ENFC,Entegra Financial Corp.,23.2,$149.84M,2014,Finance,Banks,http://www.nasdaq.com/symbol/enfc
ENTG,Entegris Inc.,26.65,$3.78B,2000,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/entg
ENTL,Entellus Medical Inc.,17.6,$446.53M,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/entl
ETRM,EnteroMedics Inc.,1.78,$18.12M,2007,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/etrm
EBTC,Enterprise Bancorp Inc,31.85,$368.98M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ebtc
EFSC,Enterprise Financial Services Corporation,36.75,$862.27M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/efsc
ENZY,Enzymotec Ltd.,11.95,$274.19M,2013,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/enzy
EPZM,Epizyme Inc.,18.4,$1.08B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/epzm
PLUS,ePlus inc.,79.85,$1.13B,1996,Technology,Retail: Computer Software & Peripheral Equipment,http://www.nasdaq.com/symbol/plus
EQIX,Equinix Inc.,464.82,$36.23B,2000,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/eqix
EQFN,Equitable Financial Corp.,10.02,$34.39M,2015,Finance,Savings Institutions,http://www.nasdaq.com/symbol/eqfn
EQBK,Equity Bancshares Inc.,34.13,$416.6M,2015,Finance,Major Banks,http://www.nasdaq.com/symbol/eqbk
ERIC,Ericsson,5.795,$18.98B,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/eric
ERIE,Erie Indemnity Company,116.41,$6.09B,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/erie
ESCA,Escalade Incorporated,12.15,$174.53M,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/esca
ESPR,Esperion Therapeutics Inc.,49.89,$1.13B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/espr
ESQ,Esquire Financial Holdings Inc.,15.08,$110.27M,2017,Finance,Commercial Banks,http://www.nasdaq.com/symbol/esq
ESSA,ESSA Bancorp Inc.,14.83,$171.96M,n/a,Finance,Banks,http://www.nasdaq.com/symbol/essa
EPIX,ESSA Pharma Inc.,0.44,$12.8M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/epix
ESND,Essendant Inc.,11.64,$436.84M,n/a,Consumer Services,Paper,http://www.nasdaq.com/symbol/esnd
ETSY,Etsy Inc.,17,$2.01B,2015,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/etsy
CLWT,Euro Tech Holdings Company Limited,3.25,$6.7M,1997,Consumer Durables,Diversified Electronic Products,http://www.nasdaq.com/symbol/clwt
EEFT,Euronet Worldwide Inc.,97.38,$5.12B,1997,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/eeft
ESEA,Euroseas Ltd.,1.6,$17.88M,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/esea
EVEP,EV Energy Partners L.P.,0.4501,$22.22M,2006,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/evep
EVBG,Everbridge Inc.,22.34,$627.65M,2016,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/evbg
EVK,Ever-Glory International Group Inc.,2.4,$35.5M,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/evk
MRAM,Everspin Technologies Inc.,16.01,$202.92M,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/mram
EVLV,EVINE Live Inc.,1.01,$65.88M,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/evlv
EVGN,Evogene Ltd.,4.61,$118.69M,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/evgn
EVOK,Evoke Pharma Inc.,2.82,$43.4M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/evok
EVOL,Evolving Systems Inc.,4.7,$58.86M,1998,Technology,EDP Services,http://www.nasdaq.com/symbol/evol
EXA,Exa Corporation,13.96,$209.63M,2012,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/exa
EXAS,Exact Sciences Corporation,42.99,$5.12B,2001,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/exas
EXAC,Exactech Inc.,29.65,$425.42M,1996,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/exac
XELA,Exela Technologies Inc.,5.95,$874.12M,2015,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/xela
XELAU,Exela Technologies Inc.,10.22,n/a,2015,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/xelau
XELAW,Exela Technologies Inc.,0.49,n/a,2015,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/xelaw
EXEL,Exelixis Inc.,25.66,$7.54B,2000,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/exel
EXFO,EXFO Inc,4.15,$95.73M,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/exfo
EXLS,ExlService Holdings Inc.,55.77,$1.88B,2006,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/exls
EXPE,Expedia Inc.,143.97,$21.83B,n/a,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/expe
EXPD,Expeditors International of Washington Inc.,56.59,$10.23B,n/a,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/expd
EXPO,Exponent Inc.,69.75,$1.8B,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/expo
ESRX,Express Scripts Holding Company,62.34,$36B,1992,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/esrx
XOG,Extraction Oil & Gas Inc.,13.35,$2.29B,2016,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/xog
EXTR,Extreme Networks Inc.,11.23,$1.24B,1999,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/extr
